index, uuid, pci.bus_id, name, driver_version
0, GPU-1f1ba835-7675-a14a-e0ad-b9e8aed4b191, 00000000:10:00.0, NVIDIA B300 SXM6 AC, 590.48.01
1, GPU-8c6d57da-fd01-1f80-0cf1-dd8938ef1621, 00000000:38:00.0, NVIDIA B300 SXM6 AC, 590.48.01
2, GPU-eb82bc38-420f-cd34-343b-d397b71952d3, 00000000:5E:00.0, NVIDIA B300 SXM6 AC, 590.48.01
3, GPU-22dd52fe-9aca-8823-437c-dba91be6f4c1, 00000000:71:00.0, NVIDIA B300 SXM6 AC, 590.48.01
4, GPU-b133dc71-5501-7c29-79b1-278a3f49a80f, 00000000:90:00.0, NVIDIA B300 SXM6 AC, 590.48.01
5, GPU-42a6a498-929b-c68a-cde3-b7f8d34fed79, 00000000:B9:00.0, NVIDIA B300 SXM6 AC, 590.48.01
6, GPU-37d4bd20-3821-5ae8-d1f6-479e7d0162d0, 00000000:DD:00.0, NVIDIA B300 SXM6 AC, 590.48.01
7, GPU-7552d3d5-8598-0214-934f-78d7fa21bc87, 00000000:EF:00.0, NVIDIA B300 SXM6 AC, 590.48.01
