timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/20 15:47:33.192, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:33.194, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:33.196, 2, 180.72 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:33.197, 3, 182.21 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:33.199, 4, 182.94 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:33.201, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:33.203, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:33.204, 7, 182.78 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:34.206, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:34.206, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:34.206, 2, 180.16 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:34.206, 3, 182.07 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:34.206, 4, 183.02 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:34.206, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:34.206, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:34.206, 7, 182.68 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:35.206, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:35.206, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:35.206, 2, 179.72 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:35.206, 3, 181.80 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:35.206, 4, 183.21 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:35.207, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:35.207, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:35.207, 7, 183.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:36.207, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:36.207, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:36.207, 2, 179.58 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:36.207, 3, 181.52 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:36.207, 4, 183.17 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:36.207, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:36.207, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:36.207, 7, 183.32 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:37.207, 0, 185.37 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:37.207, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:37.207, 2, 179.48 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:37.207, 3, 181.49 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:37.207, 4, 183.09 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:37.207, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:37.207, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:37.207, 7, 182.91 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:38.207, 0, 185.40 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:38.207, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:38.207, 2, 179.45 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:38.207, 3, 181.38 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:38.207, 4, 183.21 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:47:38.207, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
