timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/20 10:04:09.271, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:09.273, 1, 185.66 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:09.274, 2, 179.46 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:09.276, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:09.278, 4, 183.25 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:09.280, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:09.281, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:09.283, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:10.285, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:10.285, 1, 185.67 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:10.285, 2, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:10.285, 3, 181.34 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:10.285, 4, 183.25 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:10.285, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:10.285, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:10.285, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:11.285, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:11.285, 1, 185.66 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:11.285, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:11.285, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:11.285, 4, 183.25 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:11.285, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:11.285, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:11.285, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:12.285, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:12.285, 1, 185.65 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:12.285, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:12.285, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:12.285, 4, 183.25 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:12.285, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:12.286, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:12.286, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:13.286, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:13.286, 1, 185.64 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:13.286, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:13.286, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:13.286, 4, 183.25 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:13.286, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:13.286, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:13.286, 7, 184.05 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:14.286, 0, 185.48 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:14.286, 1, 185.61 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:14.286, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:14.286, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:14.286, 4, 183.25 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:14.286, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:14.286, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:14.286, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:15.286, 0, 185.25 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:15.286, 1, 185.65 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:15.286, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:15.286, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:15.286, 4, 183.25 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:15.286, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:15.286, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:15.286, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:16.286, 0, 184.85 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:16.287, 1, 185.64 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:16.287, 2, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:16.287, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:16.287, 4, 183.25 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:16.287, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:16.287, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:16.287, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:17.287, 0, 184.31 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:17.287, 1, 185.62 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:17.287, 2, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:17.287, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:17.287, 4, 183.25 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:17.287, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:17.287, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:17.287, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:18.287, 0, 183.99 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:18.287, 1, 185.60 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:18.287, 2, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:18.287, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:18.287, 4, 183.25 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:18.287, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:18.287, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:18.287, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:19.287, 0, 184.14 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:19.287, 1, 185.61 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:19.287, 2, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:19.287, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 10:04:19.287, 4, 183.25 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
