timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/20 14:26:55.658, 0, 184.04 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:55.660, 1, 185.80 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:55.662, 2, 179.43 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:55.664, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:55.665, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:55.667, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:55.669, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:55.671, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:56.672, 0, 183.77 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:56.672, 1, 185.80 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:56.672, 2, 179.42 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:56.672, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:56.672, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:56.672, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:56.673, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:56.673, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:57.673, 0, 183.73 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:57.673, 1, 185.80 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:57.673, 2, 179.42 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:57.673, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:57.673, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:57.673, 5, 179.43 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:57.673, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:57.673, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:58.673, 0, 183.72 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:58.673, 1, 185.52 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:58.673, 2, 179.43 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:58.673, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:58.673, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:58.673, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:58.673, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:58.673, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:59.673, 0, 183.61 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:59.673, 1, 185.41 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:59.673, 2, 179.43 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:59.673, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:59.673, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:59.673, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:59.673, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:26:59.673, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:00.673, 0, 183.61 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:00.673, 1, 184.90 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:00.673, 2, 179.43 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:00.673, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:00.673, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:00.673, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:00.674, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:00.674, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:01.674, 0, 183.61 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:01.674, 1, 184.63 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:01.674, 2, 179.43 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:01.674, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:01.674, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:01.674, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:01.674, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 14:27:01.674, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
