timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/21 23:55:39.410, 0, 182.13 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:39.412, 1, 184.77 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:39.414, 2, 176.00 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:39.416, 3, 178.05 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:39.418, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:39.419, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:39.421, 6, 177.67 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:39.423, 7, 180.71 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:40.425, 0, 183.13 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:40.425, 1, 184.34 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:40.425, 2, 176.00 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:40.425, 3, 178.05 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:40.425, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:40.425, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:40.425, 6, 177.68 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:40.425, 7, 180.47 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:41.425, 0, 182.97 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:41.425, 1, 183.98 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 23:55:41.425, 2, 176.00 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
