timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/22 01:42:50.096, 0, 182.70 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:50.098, 1, 185.20 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:50.099, 2, 176.01 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:50.101, 3, 178.05 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:50.103, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:50.104, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:50.106, 6, 178.04 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:50.108, 7, 180.89 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:51.110, 0, 181.82 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:51.110, 1, 185.16 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:51.110, 2, 176.01 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:51.110, 3, 178.05 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:51.110, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:51.110, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:51.110, 6, 177.77 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:51.110, 7, 180.96 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:52.110, 0, 183.01 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:52.110, 1, 185.01 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:52.110, 2, 176.02 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:52.110, 3, 178.05 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:52.110, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:52.110, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:52.110, 6, 178.05 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:52.110, 7, 180.79 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:53.110, 0, 183.25 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:53.110, 1, 184.65 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:53.110, 2, 176.04 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:53.110, 3, 178.07 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:53.110, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:53.110, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:53.110, 6, 178.07 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:53.110, 7, 180.72 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:54.110, 0, 183.09 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:54.111, 1, 184.43 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:54.111, 2, 176.02 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:54.111, 3, 178.06 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:54.111, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:54.111, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:54.111, 6, 177.84 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:54.111, 7, 181.15 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:55.111, 0, 182.71 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:55.111, 1, 183.80 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:55.111, 2, 176.02 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:55.111, 3, 178.07 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:55.111, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:55.111, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:55.111, 6, 178.06 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:55.111, 7, 181.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 01:42:56.111, 0, 182.12 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
