pair_id,kind,label,concurrency,baseline_case,comparison_case,metric,baseline_value,comparison_value,absolute_change,percent_change
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,mean_tpot_ms,5.882333520108171,5.699160322817133,-0.183173197291038,-3.1139546349230059320379616158394095365835419734950
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,median_tpot_ms,5.723325503952552,5.6050460965705025,-0.1182794073820495,-2.0666203119211943742978202678635702101191536002720
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,std_tpot_ms,0.5381850424134239,0.41291048104815176,-0.12527456136527214,-23.277228368052361193065557982107916078724490291317
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p90_tpot_ms,6.453618257860107,6.183297620955512,-0.270320636904595,-4.1886679085079322830508981386473633119112505764500
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p99_tpot_ms,7.321368042407048,6.944606259076511,-0.376761783330537,-5.1460571459902859136771895259147699267998969325460
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p99.9_tpot_ms,7.351158990300479,7.1823194961430445,-0.1688394941574345,-2.2967738064189681882286475833342361437359297350430
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,mean_itl_ms,565.4770454387219,605.2792740916234,39.8022286529015,7.0386992670977802184883638853321974693697357689600
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,median_itl_ms,342.33419224619865,305.9278288856149,-36.40636336058375,-10.634743529913352914041078010663686638785747540836
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,std_itl_ms,516.3859658948895,1257.5136787362242,741.1277128413347,143.52204780719998150770560185259893306923759456773
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p90_itl_ms,1205.918268486857,1182.2913275100293,-23.6269409768277,-1.9592489469849344179747974296945006954411809896550
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p99_itl_ms,2558.606014978135,2952.436204142857,393.830189164722,15.392373302463589433193123476244453230056244110670
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p99.9_itl_ms,4009.992179505537,23850.03497085216,19840.042791346623,494.76512429989460669140227273671412545852243447931
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,mean_e2el_ms,44273.88115610229,42203.59129565768,-2070.28986044461,-4.6760975238315219816977383227742099228704770223150
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,median_e2el_ms,43268.27514870092,42085.954890120775,-1182.320258580145,-2.7325338357418733400870395643363257885087668928110
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,std_e2el_ms,6162.386484835678,3572.0083909543155,-2590.3780938813625,-42.035307267009815883160984013736811123605672434135
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p90_e2el_ms,51884.46737695485,46398.71722813696,-5485.75014881789,-10.573010432895869166764353050455704026378986548940
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p99_e2el_ms,61403.22756118141,50903.16046481486,-10500.06709636655,-17.100187585260748912086944678967480690632624925120
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p99.9_e2el_ms,62722.33967799975,53035.90308025995,-9686.43659773980,-15.443359810025354916097147991003056923418068906626
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,duration_s,541.5900072851218,542.9567544953898,1.3667472102680,0.2523582769038187845372943915468411808275108336900
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,output_tok_s,1086.8738198304840216836879356718039761449495154263,1084.1379080863761362118938539941564960228961665454,-2.7359117441078854717940816776474801220533488809,-0.25172303299518211173982989573719901809477836583400
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,output_tok_s_gpu,271.71845495762100542092198391795099403623737885658,271.03447702159403405297346349853912400572404163635,-0.68397793602697136794852041941187003051333722023,-0.25172303299518211173982989573719901809477836583600
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,interactivity_tok_s_user,145.08109060159638937595214578834195218335593725664,144.17868685666841576296092035911521219310634322150,-0.90240374492797361299122542922673999024959403514,-0.62199955982274927708583543576015454569534545254500
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,mean_ttft_ms,1463.997278752504,1744.4735843513627,280.4763055988587,19.158253206444286728474264594688817444261864343390
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,median_ttft_ms,259.1405622661114,291.48018499836326,32.33962273225186,12.479568018781369638022408208362084667784559107880
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,std_ttft_ms,2403.849298748521,2849.789500046431,445.940201297910,18.551088103986925132656798859268007349544693408940
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p90_ttft_ms,4494.132741913201,5216.452958388254,722.320216475053,16.072516277468774939974394774121880508530605637870
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p99_ttft_ms,10631.936576366425,12482.857187236641,1850.920610870216,17.409063697620244704759185146784929013349047689640
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p99.9_ttft_ms,10671.859552539885,14534.15527436465,3862.295721824765,36.191403220871145912931143247938910818190882159480
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,mean_tpot_ms,6.973693392530062,6.9693072744609506,-0.0043861180691114,-0.06289519516028095074343227716814923604827398463300
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,median_tpot_ms,6.892697014155176,6.935837895334174,0.043140881178998,0.6258926090962913299602166288666193538271481426700
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,std_tpot_ms,0.5233883640938438,0.47076671652405544,-0.05262164756978836,-10.054034667143129650286901620389111405076113436722
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p90_tpot_ms,7.458876802537773,7.5604234182516326,0.1015466157138596,1.3614196668231584047436194181030809784205431407800
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p99_tpot_ms,8.566305036803225,8.157511592717594,-0.408793444085631,-4.7721093555429191072870918018578629666547772019600
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p99.9_tpot_ms,8.684211544404212,8.411840197066836,-0.272371347337376,-3.1363969652821518957080544856349547120443250784470
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,mean_itl_ms,723.3691656395623,704.3061862045811,-19.0629794349812,-2.6353043978763991938943858850200790716438993950720
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,median_itl_ms,407.8848110511899,389.72541433759034,-18.15939671359956,-4.4520894678082385993820276061260195958735263360650
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,std_itl_ms,1229.3433409640736,959.806960303716,-269.5363806603576,-21.925232087643003435013113719389850364616964659785
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p90_itl_ms,1447.6201888173819,1416.2281301338226,-31.3920586835593,-2.1685286600765572658773735452757772983977957123230
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p99_itl_ms,3427.9540656134627,3359.9545857915523,-67.9994798219104,-1.9836753503796233522845266695032225004755264905100
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p99.9_itl_ms,11415.063417309111,11864.688131452023,449.624714142912,3.9388718021586135703518316074069144157434374136200
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,mean_e2el_ms,52741.828849498415,53017.96376561979,276.134916121375,0.5235596151004556917168821700449966922840602192300
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,median_e2el_ms,51822.81578658149,52516.27638633363,693.46059975214,1.3381376315173096632447234735042312072986829383600
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,std_e2el_ms,5453.817397721994,5489.706237467291,35.888839745297,0.6580498965786316228162501935919517288025865313900
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p90_e2el_ms,59454.92250756361,60491.101174801595,1036.178667237985,1.7427971033116166689380719156879450961824649858200
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p99_e2el_ms,66526.96082686073,67979.4990731543,1452.53824629357,2.1833828394383791400134476950654054993855334894600
precision-4-c8,precision,TP=EP=DP4: W4A16 / W4A4 - 1,8,w4a4-tp4-ep4-dp4-c8,w4a16-tp4-ep4-dp4-c8,p99.9_e2el_ms,68149.97337916029,68789.83455001518,639.86117085489,0.9389015712375235712584200706847203161380701701000
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,duration_s,631.4630752750672,632.004141418729,0.5410661436618,0.0856845261183498295878957669136558103626376799300
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,output_tok_s,1868.6128234592432863425492220696463441241186986769,1867.0130821472378281862701457226548269589557435547,-1.5997413120054581562790763469915171651629551222,-0.08561117059252325397178581206107650915134983964900
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,output_tok_s_gpu,467.15320586481082158563730551741158603102967466922,466.75327053680945704656753643066370673973893588868,-0.39993532800136453906976908674787929129073878054,-0.08561117059252325397178581206107650915134983964700
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,interactivity_tok_s_user,123.40360284623398491987101780097844399031007608599,122.93769650014795837710579474463741255662710315534,-0.46590634608602654276522305634103143368297293065,-0.37754679388620865696023003963656882817285254761900
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,mean_ttft_ms,1647.0511435327353,1422.2409636015072,-224.8101799312281,-13.649253140314520903446288195888930343966041573324
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,median_ttft_ms,282.58236357942224,288.36644627153873,5.78408269211649,2.0468661309398465233681297447917013796864741101000
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,std_ttft_ms,2586.7120589341453,2069.2300262187127,-517.4820327154326,-20.005397621591522281897176257149715469456400507439
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p90_ttft_ms,5112.269163411109,4300.138068711384,-812.131094699725,-15.885922058099125652124222190974818815362623975289
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p99_ttft_ms,10981.089341645122,8636.921613761224,-2344.167727883898,-21.347314960764253514134289861839915491836823043846
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p99.9_ttft_ms,15066.944017323229,10421.736741489747,-4645.207275833482,-30.830454208183503010140842318995867128406632670901
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,mean_tpot_ms,8.141120766105827,8.21692900782951,0.075808241723683,0.9311769706119301577660752351495198979449498265500
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,median_tpot_ms,8.1034911212928,8.134201538409307,0.030710417116507,0.3789776117087616113267133423941883693892161969900
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,std_tpot_ms,0.519393701101425,0.5058270219381699,-0.0135666791632551,-2.6120222741411059985982354531715315684240025288110
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p90_tpot_ms,8.814314022476596,8.862936764921136,0.048622742444540,0.5516338800790564231715140526158745798062383394800
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p99_tpot_ms,9.678017264323794,9.511344293646774,-0.166672970677020,-1.7221809604683061183353273762789736440715163006030
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p99.9_tpot_ms,9.935308412731255,10.695631064539848,0.760322651808593,7.6527332642669050278938139483522969152090012763700
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,mean_itl_ms,824.8347257333538,842.6598079264365,17.8250821930827,2.1610489516229527549792371191883410795322385992300
