case_id,precision,tp,ep,dp,concurrency,date,backend,model_id,tokenizer_id,best_of,num_prompts,request_rate,burstiness,max_concurrency,duration,benchmark_start_time_unix,benchmark_end_time_unix,completed,total_input_tokens,total_output_tokens,request_throughput,request_goodput:,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p90_ttft_ms,p99_ttft_ms,p99.9_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p90_tpot_ms,p99_tpot_ms,p99.9_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p90_itl_ms,p99_itl_ms,p99.9_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p90_e2el_ms,p99_e2el_ms,p99.9_e2el_ms,benchmark_outcome.status,benchmark_outcome.requested,benchmark_outcome.completed,benchmark_outcome.failed,benchmark_outcome.max_failure_rate
w4a16-tp4-ep4-dp4-c64,w4a16,4,4,4,64,20260924-153006,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,640,inf,1.0,64,895.8328133220784,1790262911.0799413,1790263806.912755,640,590968,4727285,0.7144190193554576,,5276.972365490257,5936.657957725344,1916.6644773948065,394.601363921538,5616.103975901394,4089.5482863765214,10105.854373611513,69516.57994671761,11.368798023926072,11.358943488167053,0.8175017519684965,12.276831868227568,13.646608647324724,14.717735211776017,1180.7738533304534,725.5380093120039,1953.0869320390063,2413.952285330743,5833.040097672491,23698.389510073466,85860.46051999292,85330.9552599676,9714.925263102814,96134.39649031498,109430.76929995326,156154.47413833332,passed,640,640,0,0.05
w4a16-tp4-ep4-dp4-c128,w4a16,4,4,4,128,20260924-135321,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,1280,inf,1.0,128,1111.4335248582065,1790256890.475369,1790258001.908895,1280,1181744,9428519,1.1516658183972799,,8483.205508132269,9546.466579144828,1732.457675272235,493.0304102599621,3956.7511073152205,4014.400291163481,8773.233046252282,70441.38357694546,14.289931321879745,14.264940484831302,1.2004430687063061,15.63992939176828,17.342502990624542,19.98558309185781,1495.426222960081,866.3604685571045,2644.7375058383604,3040.1246277149767,7428.535774452609,38269.207978831546,106989.43413845955,106743.83209296502,12131.717419135788,121311.76303438844,137642.30548346415,172114.3494809724,passed,1280,1280,0,0.05
w4a4-tp8-ep8-dp8-c4,w4a4,8,8,8,4,20260924-121039,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,40,inf,1.0,4,381.00478667160496,1790251458.7530499,1790251839.757837,40,37148,290482,0.10498555766039952,,762.4103690077043,859.9104564069173,265.25992542738095,258.7169432081282,80.99142680386282,313.53882956318586,490.01190891489387,490.065184827894,5.1769110935771225,5.20259247829561,0.2996564274385741,5.539637165941104,5.781449421563811,5.871916133927112,548.5005631273015,303.6672242451459,951.4199553814251,1065.9302439074954,2717.684557340124,15293.469361748776,37837.548269017134,37531.24128165655,3003.9415555365135,42276.636839751154,44460.039216950536,44731.75909662806,passed,40,40,0,0.05
w4a4-tp8-ep8-dp8-c8,w4a4,8,8,8,8,20260924-122508,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,80,inf,1.0,8,450.5899540418759,1790252258.0133066,1790252708.6032608,80,73937,588640,0.17754501466884712,,1306.3762179333771,1470.4655398030088,1893.905886367429,270.50123107619584,3553.0727976537755,7156.439249962573,16138.580388501257,19327.449352119147,5.751499461254841,5.7359522359565265,0.35398552972788133,6.20186164954308,6.6195918372903675,6.6229658515273755,582.6722228291537,366.5433321148157,808.1498413862307,1197.9072191752493,2547.404403006657,4700.281673604661,44217.75928173447,43753.27569805086,5118.949819592154,50601.5487536788,58720.055189230465,60470.79055269856,passed,80,80,0,0.05
w4a4-tp8-ep8-dp8-c16,w4a4,8,8,8,16,20260924-124046,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,160,inf,1.0,16,511.66867648018524,1790253134.43819,1790253646.1068668,160,148067,1179960,0.3127023547750751,,2306.101690877485,2595.4823131554913,2365.4447184642777,276.3883024454117,4234.0104808378765,8230.650248564778,17543.507468961176,21713.316304323293,6.354606145989557,6.247321562493308,0.5727087076806494,6.873942218106979,8.906047412355665,9.588163931476348,658.1654620955799,380.7681812904775,1047.9352038164882,1348.505481379107,2939.1312771895937,13285.183260788972,49218.598369305255,48647.62058202177,6142.6318355542535,57376.44326495938,66923.6359663913,71280.57538619734,passed,160,160,0,0.05
w4a4-tp8-ep8-dp8-c32,w4a4,8,8,8,32,20260924-125805,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,320,inf,1.0,32,573.5268715908751,1790254111.5864851,1790254685.1133575,320,294748,2373563,0.557951189126273,,4138.538432237887,4652.460298152233,2326.5789456039784,308.78537613898516,3974.2117325267695,6547.373936977245,21019.085729257207,22457.993105326794,7.151156989491719,7.085056650960196,0.6679206416527381,7.827083429635284,9.285203548022814,11.972238002952782,727.9612247085001,438.18982341326773,977.8764733954293,1496.2650070432571,3472.831953666172,10219.975818137329,55394.95203883271,54082.228483399376,7591.8242830351355,64712.02235063538,80751.008744766,93925.41414325328,passed,320,320,0,0.05
w4a4-tp8-ep8-dp8-c64,w4a4,8,8,8,64,20260924-131705,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,640,inf,1.0,64,652.3635014290921,1790255173.235198,1790255825.5986993,640,590968,4727285,0.9810481404891472,,7246.397123144123,8152.284712970045,2480.5271914236073,476.20294243097305,5845.389192048187,6119.390881340953,45985.504217743895,51425.407848202194,8.098459046652472,8.03273972421733,0.7028842552029593,8.920140718338352,10.18375089782541,11.952254925412921,834.2166423771155,552.6199059095234,1156.3222620482843,1717.4918619915866,4194.246891546052,11234.80225382586,62275.61178550823,61259.52281919308,8866.726760915497,71065.06188572384,104858.93140164673,120898.8034713532,passed,640,640,0,0.05
w4a4-tp8-ep8-dp8-c128,w4a4,8,8,8,128,20260924-115741,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,1280,inf,1.0,128,807.8735668612644,1790250253.9040542,1790251061.7776227,1280,1181744,9428519,1.584406338448518,,11670.785363892408,13133.568710785772,2167.014559629388,682.38953105174,4675.4555850224115,5471.32189930417,14482.040517665464,56340.59806345558,10.183302121221999,10.184200968994437,1.031027514299764,11.278752689851498,12.927408496859158,15.042311528666424,1063.1509551179681,649.0796282887459,1665.04189270531,2192.6117576658726,5196.600940823573,15322.021660320668,77186.43426315393,77065.20118447952,10298.267421905963,89041.7927323375,103195.69231742532,134343.30136689096,passed,1280,1280,0,0.05
w4a16-tp8-ep8-dp8-c4,w4a16,8,8,8,4,20260924-161233,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,40,inf,1.0,4,379.59581943321973,1790265974.100884,1790266353.696703,40,37148,290482,0.1053752384831967,,765.2402506268986,863.1022346062433,269.7490941849537,265.6993761193007,71.43458728308002,349.1754245478661,443.0525062279776,443.08799925865605,5.097155206307287,5.0918075608333915,0.28941595958842725,5.4779417429076345,5.874620689210544,5.997620265813353,519.5622126505428,283.399045933038,962.0266635844748,1030.4539368487895,2511.0003337264047,9386.8247665096,37249.58944430109,36034.84590584412,2713.068199017069,41238.09364521876,41722.65863105189,41776.76287881425,passed,40,40,0,0.05
w4a16-tp8-ep8-dp8-c8,w4a16,8,8,8,8,20260924-162730,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,80,inf,1.0,8,440.251548781991,1790266810.3147156,1790267250.5662644,80,73937,588640,0.1817142954325309,,1337.0537857925624,1504.9964090600004,2053.6353800504003,283.05530454963446,3813.650874849843,5686.651548510422,17238.229992636465,18581.726244029134,5.575894176367313,5.495927078482805,0.3742034519428938,6.070599174832708,6.7090026979150155,6.749088079636181,581.5504472270184,323.6968768760562,992.3089580720864,1184.4322900287807,2609.8331336863384,10671.820332037527,43060.2111198823,42068.16390319727,5235.346902138539,49324.589852383375,59687.26187522522,61153.354944006554,passed,80,80,0,0.05
w4a16-tp8-ep8-dp8-c16,w4a16,8,8,8,16,20260924-164359,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,160,inf,1.0,16,498.3344054943882,1790267741.5354455,1790268239.8698502,160,148067,1179960,0.3210695433345948,,2367.8076147068027,2664.9313901625746,2484.2567260726355,340.055319480598,3633.422438508677,8857.837082492188,13680.488937227052,15773.847048561567,6.251664539399282,6.186338390371086,0.5053122120838421,6.77681842888095,7.859265435041484,9.154318777319036,653.1482645943659,339.0592592768371,1313.6434879673875,1284.4202871434393,3187.6559658162296,23092.80947854812,48584.277518684394,47509.84448287636,5965.312338250275,56868.53198544122,62523.29192562959,70873.10539727058,passed,160,160,0,0.05
w4a16-tp8-ep8-dp8-c32,w4a16,8,8,8,32,20260924-170201,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,320,inf,1.0,32,577.5146018210799,1790268743.992305,1790269321.5069072,320,294748,2373563,0.5540985439864937,,4109.961882375668,4620.335125009828,1953.1855700231972,322.41721684113145,3115.748042401748,5380.766803724695,14784.076358075257,19360.201840545124,7.2943831885699115,7.255325098245537,0.49563262075717296,7.8931443475985725,8.657559034211317,9.120189469332141,766.3871132197527,426.6859358176589,1420.5489282960066,1548.472448810935,3671.3111927174027,21816.092646681962,56086.460176653054,55283.8681275025,6317.303687343355,63893.89196871781,73432.39609744865,77188.54432103144,passed,320,320,0,0.05
w4a16-tp8-ep8-dp8-c64,w4a16,8,8,8,64,20260924-172153,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,640,inf,1.0,64,650.7263214238919,1790269863.1696427,1790270513.8959754,640,590968,4727285,0.9835163861200189,,7264.6285302490205,8172.7952672374195,2118.2950513539254,489.0730350743979,4763.343103198021,5201.163604110481,24274.30890020455,51251.90952913618,8.16273609442826,8.152788681111067,0.6541336286894271,8.90902872871214,9.859430399409414,10.490578238794344,843.6863094896481,489.73466688767076,1373.3724782369136,1739.2852493561804,4327.868172302878,16023.956965945818,62395.72693181544,61770.938261412084,7747.0425305814015,70793.78687092105,89805.93728586573,107338.06378272717,passed,640,640,0,0.05
w4a16-tp8-ep8-dp8-c128,w4a16,8,8,8,128,20260924-155832,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,1280,inf,1.0,128,811.2201488236897,1790264701.4317112,1790265512.6518617,1280,1181744,9428519,1.5778700786168403,,11622.639074820603,13079.387901527618,2133.385957484279,594.9414169881493,4765.243667900869,5336.8531587068,10479.554283590995,59062.45170936171,10.292244589582955,10.31721943314957,0.9548596252847628,11.34160410633193,12.421312973553338,14.054007103365533,1075.7293787537517,640.1080610230565,2034.2807722384903,2190.177259966731,5501.669415459068,36194.47050562506,77973.14738432615,77856.5622959286,10280.799514819026,88846.16504856387,103926.9982442214,146263.07037357896,passed,1280,1280,0,0.05
