case_id,precision,tp,ep,dp,concurrency,completed,duration_s,input_tokens,output_tokens,output_tok_s,output_tok_s_gpu,interactivity_tok_s_user,result_sha256,case_manifest_sha256,sglang_commit,flashinfer_commit,image,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p90_ttft_ms,p99_ttft_ms,p99.9_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p90_tpot_ms,p99_tpot_ms,p99.9_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p90_itl_ms,p99_itl_ms,p99.9_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p90_e2el_ms,p99_e2el_ms,p99.9_e2el_ms,warmup_requests,server_capacity,effective_capacity_per_dp,effective_prefill_per_dp,failed,graph_max_batch_decode
w4a16-tp4-ep4-dp4-c64,w4a16,4,4,4,64,640,895.8328133220784,590968,4727285,5276.972365490257,1319.2430913725643,88.03635664194734,c8124a5ae27227dd2e461c4dca7e5340d3ab8832929893a2e7af4c28ba84edf6,49f82e3a2538c7433eeeba3cde7fbe9ab530e425445988cc14f6d400f4a47384,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1916.6644773948065,394.601363921538,5616.103975901394,4089.5482863765214,10105.854373611513,69516.57994671761,11.368798023926072,11.358943488167053,0.8175017519684965,12.276831868227568,13.646608647324724,14.717735211776017,1180.7738533304534,725.5380093120039,1953.0869320390063,2413.952285330743,5833.040097672491,23698.389510073466,85860.46051999292,85330.9552599676,9714.925263102814,96134.39649031498,109430.76929995326,156154.47413833332,128,64,16,8192,0,64
w4a16-tp4-ep4-dp4-c128,w4a16,4,4,4,128,1280,1111.4335248582065,1181744,9428519,8483.205508132269,2120.801377033067,70.10193986181402,80661bfcc24398208993ee5ef1d4e7875422720ed8c86fb06d61cad383fd2546,0f6d9bcfd81d920b05e0042eef2ab02991432c1c00bce99b59d329cd1af45324,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1732.457675272235,493.0304102599621,3956.7511073152205,4014.400291163481,8773.233046252282,70441.38357694546,14.289931321879745,14.264940484831302,1.2004430687063061,15.63992939176828,17.342502990624542,19.98558309185781,1495.426222960081,866.3604685571045,2644.7375058383604,3040.1246277149767,7428.535774452609,38269.207978831546,106989.43413845955,106743.83209296502,12131.717419135788,121311.76303438844,137642.30548346415,172114.3494809724,256,128,32,8192,0,128
w4a4-tp8-ep8-dp8-c4,w4a4,8,8,8,4,40,381.00478667160496,37148,290482,762.4103690077043,95.30129612596303,192.21186440641685,a7753f7999e5fd81d0c28c4fdb5d67a3e9e1126d67956207a689e4947b7d96f4,553f9729590bdb76bf61e4e19d7de074aa6c1e1a0a6ba95ea9a37f438dac583b,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,265.25992542738095,258.7169432081282,80.99142680386282,313.53882956318586,490.01190891489387,490.065184827894,5.1769110935771225,5.20259247829561,0.2996564274385741,5.539637165941104,5.781449421563811,5.871916133927112,548.5005631273015,303.6672242451459,951.4199553814251,1065.9302439074954,2717.684557340124,15293.469361748776,37837.548269017134,37531.24128165655,3003.9415555365135,42276.636839751154,44460.039216950536,44731.75909662806,8,8,1,4096,0,4
w4a4-tp8-ep8-dp8-c8,w4a4,8,8,8,8,80,450.5899540418759,73937,588640,1306.3762179333771,163.29702724167214,174.33896916563847,4e56e267425bdb1fd651d998e3661e3af38d7a628f6723a50b64b8d36a541f3b,bce32231e5612a64028cf7e4bf5689c3387122e2b52ff4bca2b0f09ddb9378a4,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1893.905886367429,270.50123107619584,3553.0727976537755,7156.439249962573,16138.580388501257,19327.449352119147,5.751499461254841,5.7359522359565265,0.35398552972788133,6.20186164954308,6.6195918372903675,6.6229658515273755,582.6722228291537,366.5433321148157,808.1498413862307,1197.9072191752493,2547.404403006657,4700.281673604661,44217.75928173447,43753.27569805086,5118.949819592154,50601.5487536788,58720.055189230465,60470.79055269856,16,8,1,4096,0,8
w4a4-tp8-ep8-dp8-c16,w4a4,8,8,8,16,160,511.66867648018524,148067,1179960,2306.101690877485,288.2627113596856,160.0685973975861,96238822d579d2a372182104b57bb36db04ac11d6c6671190c5322319c137f74,38795371978ec35de79ae22c9c7b76792f0f7fcf83e1f36787ccdfe1cee276ec,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,2365.4447184642777,276.3883024454117,4234.0104808378765,8230.650248564778,17543.507468961176,21713.316304323293,6.354606145989557,6.247321562493308,0.5727087076806494,6.873942218106979,8.906047412355665,9.588163931476348,658.1654620955799,380.7681812904775,1047.9352038164882,1348.505481379107,2939.1312771895937,13285.183260788972,49218.598369305255,48647.62058202177,6142.6318355542535,57376.44326495938,66923.6359663913,71280.57538619734,32,16,2,4096,0,16
w4a4-tp8-ep8-dp8-c32,w4a4,8,8,8,32,320,573.5268715908751,294748,2373563,4138.538432237887,517.3173040297359,141.14213185077017,2f0dba31a064685217d4b6e27124b6e742179643543d1ee7caf2b58c1d5be9cc,e7a5488e806699513ec94392f0daf68f4acf2bf2b06ca99b8bf175d1712f8ffd,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,2326.5789456039784,308.78537613898516,3974.2117325267695,6547.373936977245,21019.085729257207,22457.993105326794,7.151156989491719,7.085056650960196,0.6679206416527381,7.827083429635284,9.285203548022814,11.972238002952782,727.9612247085001,438.18982341326773,977.8764733954293,1496.2650070432571,3472.831953666172,10219.975818137329,55394.95203883271,54082.228483399376,7591.8242830351355,64712.02235063538,80751.008744766,93925.41414325328,64,32,4,4096,0,32
w4a4-tp8-ep8-dp8-c64,w4a4,8,8,8,64,640,652.3635014290921,590968,4727285,7246.397123144123,905.7996403930154,124.49052681056897,bc3eccdb4ee11482b23f77d25bfc396306e92b8ec0fc4b289eb365321ac45d0f,6905b2c738c970ea350eb95ae6b9e2ea1f3596c2bd43db34f33ba493588cc9eb,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,2480.5271914236073,476.20294243097305,5845.389192048187,6119.390881340953,45985.504217743895,51425.407848202194,8.098459046652472,8.03273972421733,0.7028842552029593,8.920140718338352,10.18375089782541,11.952254925412921,834.2166423771155,552.6199059095234,1156.3222620482843,1717.4918619915866,4194.246891546052,11234.80225382586,62275.61178550823,61259.52281919308,8866.726760915497,71065.06188572384,104858.93140164673,120898.8034713532,128,64,8,4096,0,64
w4a4-tp8-ep8-dp8-c128,w4a4,8,8,8,128,1280,807.8735668612644,1181744,9428519,11670.785363892408,1458.848170486551,98.19130661742406,162dacdd3ffc2be8f9dbce9d0939e3fd33ea9437a05aecda30480c86c46c5888,f292bf9888a62193d7ac3907645bbebbc208a72fa08432f017a57270a3b799f9,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,2167.014559629388,682.38953105174,4675.4555850224115,5471.32189930417,14482.040517665464,56340.59806345558,10.183302121221999,10.184200968994437,1.031027514299764,11.278752689851498,12.927408496859158,15.042311528666424,1063.1509551179681,649.0796282887459,1665.04189270531,2192.6117576658726,5196.600940823573,15322.021660320668,77186.43426315393,77065.20118447952,10298.267421905963,89041.7927323375,103195.69231742532,134343.30136689096,256,128,16,4096,0,128
w4a16-tp8-ep8-dp8-c4,w4a16,8,8,8,4,40,379.59581943321973,37148,290482,765.2402506268986,95.65503132836233,196.39391081707083,3bbe475f82955a2f89574179114152501a24738b755f7dec79a8d38de3979ced,6014545a786f04c8b7b1d2ecec2c6207e9f7615956330a65fc478e2dedbea826,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,269.7490941849537,265.6993761193007,71.43458728308002,349.1754245478661,443.0525062279776,443.08799925865605,5.097155206307287,5.0918075608333915,0.28941595958842725,5.4779417429076345,5.874620689210544,5.997620265813353,519.5622126505428,283.399045933038,962.0266635844748,1030.4539368487895,2511.0003337264047,9386.8247665096,37249.58944430109,36034.84590584412,2713.068199017069,41238.09364521876,41722.65863105189,41776.76287881425,8,8,1,4096,0,4
w4a16-tp8-ep8-dp8-c8,w4a16,8,8,8,8,80,440.251548781991,73937,588640,1337.0537857925624,167.1317232240703,181.95292363232338,2a72af79486e20786920b86022fa6f6ae33e909975dacee45174f385fd2d9996,d76f72164e9a7bde2877e50ed56a96ecd9e6ee17f94ecab903fd652045a68a5f,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,2053.6353800504003,283.05530454963446,3813.650874849843,5686.651548510422,17238.229992636465,18581.726244029134,5.575894176367313,5.495927078482805,0.3742034519428938,6.070599174832708,6.7090026979150155,6.749088079636181,581.5504472270184,323.6968768760562,992.3089580720864,1184.4322900287807,2609.8331336863384,10671.820332037527,43060.2111198823,42068.16390319727,5235.346902138539,49324.589852383375,59687.26187522522,61153.354944006554,16,8,1,4096,0,8
w4a16-tp8-ep8-dp8-c16,w4a16,8,8,8,16,160,498.3344054943882,148067,1179960,2367.8076147068027,295.97595183835034,161.6465083055399,f12b6c474be9b9f4f8cbdff9b0ebc3683742792505660c3aa90e697e6e822001,cd1c516d7a49905eb4065c736e6e1bc11dd498b9d213063299c12b5cc9c2e3b5,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,2484.2567260726355,340.055319480598,3633.422438508677,8857.837082492188,13680.488937227052,15773.847048561567,6.251664539399282,6.186338390371086,0.5053122120838421,6.77681842888095,7.859265435041484,9.154318777319036,653.1482645943659,339.0592592768371,1313.6434879673875,1284.4202871434393,3187.6559658162296,23092.80947854812,48584.277518684394,47509.84448287636,5965.312338250275,56868.53198544122,62523.29192562959,70873.10539727058,32,16,2,4096,0,16
w4a16-tp8-ep8-dp8-c32,w4a16,8,8,8,32,320,577.5146018210799,294748,2373563,4109.961882375668,513.7452352969585,137.82979900401943,79ca862a3a74e223f5f89e40c66d65b2133b2b6745274076376484abc1732b12,2334ca556c7ef29ea637166513d1e1fc5ce02606349434c840f11951d5117123,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1953.1855700231972,322.41721684113145,3115.748042401748,5380.766803724695,14784.076358075257,19360.201840545124,7.2943831885699115,7.255325098245537,0.49563262075717296,7.8931443475985725,8.657559034211317,9.120189469332141,766.3871132197527,426.6859358176589,1420.5489282960066,1548.472448810935,3671.3111927174027,21816.092646681962,56086.460176653054,55283.8681275025,6317.303687343355,63893.89196871781,73432.39609744865,77188.54432103144,64,32,4,4096,0,32
w4a16-tp8-ep8-dp8-c64,w4a16,8,8,8,64,640,650.7263214238919,590968,4727285,7264.6285302490205,908.0785662811276,122.65741688078678,ec01dd7c1551043dae58c12003374a433855d252f1f74eb323dd1429bf6e51d9,412279c6c410abd95be3bb33a1261ac3a4d447589e84377131577c4f97fd477d,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,2118.2950513539254,489.0730350743979,4763.343103198021,5201.163604110481,24274.30890020455,51251.90952913618,8.16273609442826,8.152788681111067,0.6541336286894271,8.90902872871214,9.859430399409414,10.490578238794344,843.6863094896481,489.73466688767076,1373.3724782369136,1739.2852493561804,4327.868172302878,16023.956965945818,62395.72693181544,61770.938261412084,7747.0425305814015,70793.78687092105,89805.93728586573,107338.06378272717,128,64,8,4096,0,64
w4a16-tp8-ep8-dp8-c128,w4a16,8,8,8,128,1280,811.2201488236897,1181744,9428519,11622.639074820603,1452.8298843525754,96.92533986308042,049d33824ef3ec0db4c6a921dac51a9e332b972cb7ab7a267399e15ee16ca3d8,e279e255321a711d3169a670ddca437b27d1697d24c2fd5417515718855b2352,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,2133.385957484279,594.9414169881493,4765.243667900869,5336.8531587068,10479.554283590995,59062.45170936171,10.292244589582955,10.31721943314957,0.9548596252847628,11.34160410633193,12.421312973553338,14.054007103365533,1075.7293787537517,640.1080610230565,2034.2807722384903,2190.177259966731,5501.669415459068,36194.47050562506,77973.14738432615,77856.5622959286,10280.799514819026,88846.16504856387,103926.9982442214,146263.07037357896,256,128,16,4096,0,128
