timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/21 02:54:48.135, 0, 175.66 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:48.137, 1, 184.83 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:48.139, 2, 180.70 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:48.141, 3, 182.30 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:48.143, 4, 178.64 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:48.144, 5, 182.53 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:48.146, 6, 179.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:48.148, 7, 178.88 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:49.150, 0, 175.50 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:49.150, 1, 184.83 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:49.150, 2, 180.70 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:49.150, 3, 182.14 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:49.150, 4, 178.64 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:49.150, 5, 182.53 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:49.150, 6, 179.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:49.150, 7, 178.89 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:50.150, 0, 175.70 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:50.150, 1, 184.83 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:50.150, 2, 180.70 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:50.150, 3, 182.22 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:50.150, 4, 178.64 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:50.150, 5, 182.54 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:50.150, 6, 179.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:50.150, 7, 178.89 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:51.150, 0, 175.73 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:51.150, 1, 184.83 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:51.150, 2, 180.70 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:51.150, 3, 182.54 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:51.150, 4, 178.64 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:51.150, 5, 182.54 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:51.150, 6, 179.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:51.150, 7, 178.92 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:52.150, 0, 175.65 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:52.150, 1, 184.83 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:52.150, 2, 180.70 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:52.150, 3, 182.46 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:52.151, 4, 178.64 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:52.151, 5, 182.56 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:52.151, 6, 179.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:52.151, 7, 178.91 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:53.151, 0, 175.70 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:53.151, 1, 184.83 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:53.151, 2, 180.70 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:53.151, 3, 182.54 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:53.151, 4, 178.64 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:53.151, 5, 182.52 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:53.151, 6, 179.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:53.151, 7, 178.88 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/21 02:54:54.151, 0, 175.84 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
