index, uuid, pci.bus_id, name, driver_version
0, GPU-116496fe-bef1-2572-a3cd-49d60178cb59, 00000000:10:00.0, NVIDIA B300 SXM6 AC, 590.48.01
1, GPU-8f5dbf02-0f3d-7761-f774-0d499247c075, 00000000:38:00.0, NVIDIA B300 SXM6 AC, 590.48.01
2, GPU-c0a7d75c-eba7-a3f1-caaf-b3df416925a2, 00000000:5E:00.0, NVIDIA B300 SXM6 AC, 590.48.01
3, GPU-adbce29e-68d1-f994-2128-03eca88727db, 00000000:71:00.0, NVIDIA B300 SXM6 AC, 590.48.01
4, GPU-27f83d28-36b4-43f3-5474-9f2796a162dd, 00000000:90:00.0, NVIDIA B300 SXM6 AC, 590.48.01
5, GPU-cbcfbaf1-de2d-e3fd-348e-46a58c2ecb99, 00000000:B9:00.0, NVIDIA B300 SXM6 AC, 590.48.01
6, GPU-ec7c67a1-63af-3479-e6d1-7b8f73e9b758, 00000000:DD:00.0, NVIDIA B300 SXM6 AC, 590.48.01
7, GPU-d8509370-afd8-35fc-818a-59d00b4368fc, 00000000:EF:00.0, NVIDIA B300 SXM6 AC, 590.48.01
