timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/20 08:36:05.752, 0, 183.61 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:05.754, 1, 185.53 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:05.756, 2, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:05.757, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:05.759, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:05.761, 5, 178.62 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:05.763, 6, 179.66 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:05.764, 7, 182.13 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:06.766, 0, 183.61 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:06.766, 1, 185.57 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:06.766, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:06.766, 3, 181.26 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:06.766, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:06.766, 5, 178.57 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:06.766, 6, 179.67 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:06.766, 7, 182.13 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:07.766, 0, 183.61 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:07.766, 1, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:07.766, 2, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:07.766, 3, 181.27 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:07.767, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 08:36:07.767, 5, 178.59 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
