timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/20 15:10:13.855, 0, 185.67 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:13.857, 1, 185.75 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:13.859, 2, 179.40 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:13.861, 3, 181.37 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:13.862, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:13.864, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:13.866, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:13.868, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:14.869, 0, 185.60 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:14.869, 1, 185.68 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:14.869, 2, 179.43 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:14.869, 3, 181.45 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:14.869, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:14.869, 5, 179.43 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:14.869, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:14.869, 7, 182.21 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:15.870, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:15.870, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:15.870, 2, 179.44 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:15.870, 3, 181.37 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:15.870, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:15.870, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:15.870, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:15.870, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:16.870, 0, 185.53 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:16.870, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:16.870, 2, 179.43 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:16.870, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:16.870, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:16.870, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:16.870, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:16.870, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:17.870, 0, 185.05 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:17.870, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:17.870, 2, 179.41 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:17.870, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:17.870, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:17.870, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:17.870, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:17.870, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:18.870, 0, 184.49 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:18.871, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:18.871, 2, 179.42 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:18.871, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:18.871, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:18.871, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:18.871, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:18.871, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:19.871, 0, 183.84 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:19.871, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:19.871, 2, 179.40 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:19.871, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:19.871, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:19.871, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:19.871, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:19.871, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:20.871, 0, 183.61 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:20.871, 1, 185.68 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:20.871, 2, 179.41 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:20.871, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:20.871, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:20.871, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:20.871, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:20.871, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:21.871, 0, 183.61 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:10:21.871, 1, 185.68 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
